speeker,date,title,sen,word
Barack Obama,2008/10/20,"Remarks in Fayetteville, North Carolina",20.20394736842105,4.228915662650603
Barack Obama,2008/10/21,"Remarks in Tampa Bay, Florida",18.66137566137566,4.176070314715055
Barack Obama,2008/10/22,"Remarks in Lake Worth, Florida",23.34375,4.524096385542169
Barack Obama,2008/10/22,"Remarks in Miami, Florida",20.23699421965318,4.234504427306484
Barack Obama,2008/10/23,"Remarks in Richmond, Virginia: National Security Avail",19.661290322580644,4.547990155865463
Barack Obama,2008/10/23,"Remarks in Richmond, Virginia",19.70198675496689,4.179495798319328
Barack Obama,2008/10/24,"Remarks in Indianapolis, Indiana",18.415384615384614,4.254525201893623
Barack Obama,2008/10/25,"Remarks in Charleston, West Virginia",10.63716814159292,4.162229617304493
Barack Obama,2008/10/26,"Remarks in Reno, Nevada",19.63529411764706,4.1935290593169565
Barack Obama,2008/10/27,"Remarks in Denver, Colorado",18.872222222222224,4.222843685604945
Barack Obama,2008/10/28,"Remarks in Canton, Ohio Presenting Presidential Campaign ""Closing Argument""",21.5625,4.23647342995169
Barack Obama,2008/10/29,"Remarks in Chester, Pennsylvania",20.821052631578947,4.252275025278059
Barack Obama,2008/10/30,"Remarks in Raleigh, North Carolina",21.495238095238093,4.24368630926008
Barack Obama,2008/10/31,"Remarks in Sarasota, Florida",22.13294797687861,4.231130843562288
Barack Obama,2008/10/31,"Remarks in Columbia, Missouri",17.47750865051903,4.213225103939814
Barack Obama,2008/10/32,"Remarks in Des Moines, Iowa",21.64071856287425,4.195351411178749
Barack Obama,2008/11/02,Democratic Radio Address,16.5,4.4603174603174605
Barack Obama,2008/11/03,"Remarks in Columbus, Ohio",20.0,4.152694610778443
Barack Obama,2008/11/04,"Remarks in Jacksonville, Florida",19.21875,4.190243902439025
Barack Obama,2008/11/05,Address in Chicago Accepting Election as the 44th President of the United States,25.036585365853657,4.1110569897710665
