speeker,date,title,Average sentence length,Average word lengt,Diffaculty Index,Percentage of 'We'
McCain,2008-04-24,Louisiana,16.951219512195124,4.469424460431655,1.213375796178344,0.7194244604316548
McCain,2008-04-28,"Florida
",21.23076923076923,4.71286231884058,1.1818181818181819,0.8152173913043478
McCain,2008-04-29,Florida,22.158227848101266,4.799771493858898,1.224269377382465,0.5998286203941731
McCain,2008-05-01,Ohio,22.509090909090908,4.832794830371567,1.2107142857142856,0.7269789983844911
McCain,2008-05-06,"Remarks on Judicial Philosophy at Wake Forest University in Winston-Salem, North Carolina",23.104575163398692,4.588967468175389,1.2747747747747749,0.4243281471004243
McCain,2008-05-07,"California
",30.415584415584416,4.836891545687447,1.3165182987141444,1.1955593509820666
McCain,2008-05-12,Oregon,21.518987341772153,4.682941176470588,1.2412656558998023,1.8235294117647058
McCain,2008-05-15,"Ohio
",23.33823529411765,4.834593572778828,1.3476331360946745,0.630119722747322
McCain,2008-05-16,Kentucky,20.451612903225808,4.6616719242902205,1.4597478176527643,0.5914826498422713
McCain,2008-05-19,Illinois,23.6,4.491199478487614,1.1977077363896849,0.8148631029986962
McCain,2008-05-20,Florida,22.08219178082192,4.815136476426799,1.438729198184569,0.8064516129032258
McCain,2008-05-26,"Remarks on Memorial Day at the New Mexico Veterans Memorial in Albuquerque, New Mexico",21.78048780487805,4.410974244120941,1.4135135135135135,1.3811123553564764
McCain,2008-05-27,"Colorado
",23.064,4.838015955601803,1.4004995836802665,2.081165452653486
McCain,2008-06-02,"Remarks to the American Israel Public Affairs Committee Policy Conference in Washington, D.C.",21.4,4.639853137516689,1.3910614525139664,0.8344459279038717
McCain,2008-06-03,Louisiana,19.53216374269006,4.532035928143713,1.2986923606331728,1.437125748502994
McCain,2008-06-10,"Remarks at the NFIB and eBay 2008 National Small Business Summit in Washington, DC",21.915966386554622,4.549463190184049,1.0764331210191083,0.9969325153374233
McCain,2008-06-17,Texas,20.431137724550897,4.444900351699883,1.2914707857622565,1.6998827667057446
McCain,2008-06-18,Missouri,19.181818181818183,4.383293838862559,1.2718707940780618,1.5402843601895735
McCain,2008-06-20,"Remarks to the Economic Club of Toronto in Ottawa, Canada",18.79646017699115,4.608286252354049,1.3865168539325843,1.8832391713747645
McCain,2008-06-23,"California
",18.592105263157894,4.43241330502477,1.2680577849117174,1.7692852087756548
McCain,2008-06-24,Remarks at the Santa Barbara Museum of Natural History,21.356164383561644,4.581783194355356,1.2019774011299436,1.7960230917254651
McCain,2008-06-25,Nevada,20.71698113207547,4.501517911353977,1.207774798927614,2.1250758955676985
McCain,2008-06-28,"Remarks to the National Association of Latino Elected and Appointed Officials in Washington, DC",22.650602409638555,4.611170212765957,1.385786802030457,1.8617021276595744
McCain,2008-07-01,"Indiana
",21.61904761904762,4.642437591776799,1.2681099084096585,0.9544787077826725
McCain,2008-07-07,Colorado,16.550387596899224,4.435128805620609,1.3961840628507296,1.0772833723653397
McCain,2008-07-08,"Remarks at the 79th Annual League of United Latin American Citizens Convention in Washington, DC",20.89090909090909,4.552654482158399,1.4214963119072708,1.1749347258485638
McCain,2008-07-09,Ohio,18.03,4.373821408763172,1.34765625,1.2201885745978924
